sex,race,base,target,pred,split
0,0,1,0,1.0,1
0,0,1,0,0.98886234,0
0,0,0,0,1.2360843e-07,1
0,0,0,0,3.5157458e-07,1
0,0,1,0,1.0,1
0,0,0,0,2.0044513e-06,1
0,0,0,0,0.0023563718,0
0,0,0,0,7.772427e-08,1
0,0,0,0,3.6497604e-06,0
0,0,1,0,0.9957092,0
0,0,0,0,1.260792e-07,0
0,0,0,0,1.7799062e-08,1
0,0,1,1,1.0,1
0,0,0,0,0.053160537,0
0,0,0,0,8.09848e-08,1
0,0,0,0,6.388256e-08,1
0,0,0,0,1.1600664e-08,0
0,0,0,0,8.5906593e-10,1
0,0,0,0,9.911872e-08,1
0,0,0,0,1.1388411e-06,1
0,0,0,0,5.177815e-07,1
0,0,0,0,2.475966e-13,1
0,0,0,0,9.080282e-05,1
0,0,1,0,0.9999993,0
0,0,0,0,5.4310587e-09,1
0,0,0,0,1.1230311e-08,0
0,0,1,0,1.0,1
0,0,0,0,5.5367445e-06,1
0,0,0,0,1.6612653e-08,0
0,0,1,1,0.99999535,1
0,0,0,0,3.4638802e-08,1
0,0,0,0,3.3399766e-10,1
0,0,0,0,1.1509681e-05,1
0,0,0,0,8.051596e-12,0
0,0,1,1,1.0,1
0,0,0,0,1.9289807e-06,1
0,0,1,0,0.79040414,0
0,0,0,0,7.3123076e-08,1
0,0,0,0,9.830836e-06,1
0,0,0,0,8.851078e-09,1
0,0,0,0,1.5667833e-14,1
0,0,0,0,3.751876e-07,1
0,0,0,0,8.643389e-09,1
0,0,0,0,2.9573397e-10,0
0,0,0,0,1.9279238e-07,0
0,0,1,1,1.0,1
0,0,0,0,3.3498404e-07,0
0,0,1,0,0.9999999,1
0,0,0,0,1.0094088e-08,1
0,0,1,0,0.9999993,1
0,0,0,0,0.00031532114,0
0,0,0,0,4.7110587e-09,1
0,0,1,0,0.99998164,1
0,0,0,0,8.638663e-08,0
0,0,0,0,3.7261628e-07,0
0,0,1,0,1.0,1
0,0,1,0,1.0,0
0,0,1,0,1.0,1
0,0,0,0,2.39028e-06,1
0,0,0,0,9.0908037e-07,1
0,0,1,1,1.0,1
0,0,0,0,4.753166e-06,1
0,0,0,0,1.8551552e-06,1
0,0,0,0,2.1628808e-05,1
0,0,0,0,0.006000657,0
0,0,0,0,6.826318e-12,1
0,0,0,0,8.3112684e-07,1
0,0,1,0,1.0,1
0,0,0,0,2.9966607e-06,1
0,0,0,0,2.4871264e-07,1
0,0,0,0,1.799662e-07,0
0,0,1,0,0.99999833,1
0,0,0,0,0.0003725432,0
0,0,0,0,6.805304e-10,1
0,0,0,0,5.2582028e-09,1
0,0,1,0,1.0,1
0,0,0,0,8.446686e-07,1
0,0,0,0,2.4590557e-07,1
0,0,1,0,1.0,0
0,0,0,0,5.203224e-07,1
0,0,0,0,1.8742522e-08,1
0,0,1,0,1.0,1
0,0,0,0,1.9863893e-09,1
0,0,1,0,0.99999976,1
0,0,0,0,8.225405e-06,1
0,0,0,0,6.1161427e-06,1
0,0,0,0,2.342875e-06,1
0,0,0,0,1.3476617e-10,1
0,0,0,0,7.5343786e-07,1
0,0,1,0,0.9999999,0
0,0,1,0,0.64777684,0
0,0,0,0,1.1216224e-05,1
0,0,0,0,4.6844985e-07,1
0,0,0,0,7.5492973e-10,1
0,0,0,0,2.5063994e-06,1
0,0,0,0,9.035447e-10,1
0,0,0,0,5.845886e-06,0
0,0,0,0,8.199711e-08,1
0,0,0,0,9.148303e-10,1
0,0,1,0,1.0,1
0,0,1,1,1.0,1
0,0,0,0,1.41933025e-08,1
0,0,0,0,3.8221006e-06,1
0,0,1,0,1.0,1
0,0,1,0,1.0,1
0,0,0,0,4.1737363e-05,0
0,0,0,0,0.00040367682,0
0,0,0,0,0.001615579,0
0,0,0,0,1.012187e-06,1
0,0,0,0,6.8329955e-06,1
